1,1
2,1
3,1
4,1
5,1
6,1
7,1
1,2
2,2
3,2
6,2
5,2
7,3
8,3
9,4
10,4
11,4
12,4
13,4
14,4
15,5
16,5
17,5
18,5
19,6
20,6
21,6
22,6
23,7
24,7
25,7
9,8
26,8
27,8
28,9
29,9
30,9
31,9
32,9
2,10
33,10
7,10
35,10
36,11
37,11
38,11
39,11
9,12
17,12
22,12
40,13
41,14
42,14
43,14
44,14
41,15
42,15
45,15
46,15
32,17
47,17
48,17
49,17
50,17
51,18
52,18
53,18
54,18
55,18
56,20
9,20
58,20
59,20
60,22
61,22
62,22
63,23
64,23
65,23
9,24
22,24
66,24
67,24
68,25
69,25
70,25
71,25
72,26
73,26
74,26
75,26
76,26
77,28
78,28
79,28
80,28
22,29
67,29
32,29
53,29
81,29
